supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date
 ALDI Australia,Freezer ,Market Fare Stir Fry Vegetables 850g,alfrma11,$3.19,$3.75 per kg,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-stir-fry-vegetables-850g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_2.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Market Fare Cauliflower or Broccoli Bake 800g,alfrma12,$4.99,$6.24 per kg,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-cauliflower-or-broccoli-bake-800g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Frozen_Foods/2020/ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,The Best Margherita Pizza Ever 365g,alfrth13,$4.99,$1.37 per 100g,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/the-best-margherita-pizza-ever-365g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2626_MARGHERITA_PIZZA_1x1_228x128.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,International Cuisine Supreme Family Pizza 500g,alfrin14,$2.99,59c per 100g,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/international-cuisine-supreme-family-pizza-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2364_FROZEN_FOOD_1x1_228x128_.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,International Cuisine Beef Lasagne 2kg,alfrin15,$7.99,40c per 100g,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/international-cuisine-beef-lasagne-2kg/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_9.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Simply Super Korean BBQ Beef or Chicken Risotto Bowl 350g,alfrsi16,$4.49,$1.28 per 100g,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/simply-super-korean-bbq-beef-or-chicken-risotto-bo/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_3.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Urban Eats Family Dumpling 20pk/625g,alfrur17,$9.99,$1.60 per 100g,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/urban-eats-family-dumpling-20pk625g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_4.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Urban Eats Roti Chanai 6pk/360g,alfrur18,$2.99,83c per 100g,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/urban-eats-roti-chanai-6pk360g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_7.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Orchard & Vine Blueberries 500g,alfror19,$3.69,$7.38 per kg,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/orchard-vine-blueberries-500g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2364_FROZEN_FOOD_1x1_228x128_3.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Yoconut Frozen Dessert 475ml,alfryo20,$4.99,$1.05 per 100ml,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/yoconut-frozen-dessert-475ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_5.jpg,2020-09-10 20:19:56
 ALDI Australia,Freezer ,Kenny’s Frozen Dessert 475ml,alfrke21,$4.99,$1.05 per 100ml,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/kennys-frozen-dessert-475ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Freezer/Products/ALN2853_FROZEN_FOOD_1x1_228x128_8.jpg,2020-09-10 20:19:56
