supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Olive Oil ,Just Organic Extra Virgin Olive Oil 500ml,$4.69,94c per 100ml,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/just-organic-extra-virgin-olive-oil-500ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2019/Q1/ALN2230_Q1_OLIVE_OIL_1x1_228x128_.jpg,2020-09-09 04:03:43
 ALDI Australia,Olive Oil ,Remano Olive Oil / Mild Olive Oil 1L,$5.99,60c per 100ml,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/remano-olive-oil-mild-olive-oil-1l/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/ALN1075_OLIVE-OIL_1x1_228x128_3_01.jpg,2020-09-09 04:03:43
 ALDI Australia,Olive Oil ,The Olive Tree Australian Extra Virgin Olive Oil Spray 225g,$2.99,$1.33 per 100g,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/the-olive-tree-australian-extra-virgin-olive-oil-s/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2018/ALN1726-3_1x1_OLIVE-OIL_228x128_.jpg,2020-09-09 04:03:43
 ALDI Australia,Olive Oil ,The Olive Tree Australian Extra Virgin Olive Oil 1L – Classic,$8.99,90c per 100ml,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/the-olive-tree-australian-extra-virgin-olive-oil-1-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Pantry/Olive_Oil/Products/ALN2364_AWARDS_OILS-SAUCES_1x1_228x128_.jpg,2020-09-09 04:03:43
 ALDI Australia,Olive Oil ,The Olive Tree Australian Extra Virgin Olive Oil 3L,$23.99,80c per 100ml,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/the-olive-tree-australian-extra-virgin-olive-oil-3/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Pantry/Olive_Oil/Products/ALN2364_AWARDS_OILS-SAUCES_1x1_228x128_2.jpg,2020-09-09 04:03:43
 ALDI Australia,Olive Oil ,Remano Extra Virgin Olive Oil 3.78L,$21.99,58c per 100ml,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/remano-extra-virgin-olive-oil-378l/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2017/ALN1136_1x1_OIL_228x128_3.jpg,2020-09-09 04:03:43
 ALDI Australia,Olive Oil ,Cobram Estate  Australia Extra Virgin Olive Oil 500ml,$7.99,$1.60 per 100ml,https://www.aldi.com.au/en/groceries/pantry/olive-oil/olive-oil-detail/ps/p/cobram-estate-australia-extra-virgin-olive-oil-500/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/ALN1075_OLIVE-OIL_1x1_228x128_3.jpg,2020-09-09 04:03:43
