supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Dairy & Eggs ,Westacre Vintage Cheese Slices 12pk/250g,$3.99,$15.96 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/westacre-vintage-cheese-slices-12pk250g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Cheese/2020/Cheese_Awards/ALN2793_CHEESE_DAIRY_AWARDS_1x1_228x128_8.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Westacre Tasty Cheese Slices 12pk/250g,$3.99,$15.96 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/westacre-tasty-cheese-slices-12pk250g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Cheese/2020/Cheese_Awards/ALN2793_CHEESE_DAIRY_AWARDS_1x1_228x128_9.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Manhattan Cottage Cheese 500g,$3.79,$7.58 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/manhattan-cottage-cheese-500g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_CHEESE_1x1_228x128_4.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Emporium Selection Smooth Ricotta 375g,$2.69,$7.17 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-smooth-ricotta-375g-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_10.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Emporium Selection Apricot & Almond Cream Cheese 200g,$2.79,$13.95 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-apricot-almond-cream-cheese-200-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_CHEESE_1x1_228x128_5.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Emporium Selection Spring Onion & Chives Cream Cheese 200g,$2.79,$13.95 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-spring-onion-chives-cream-chees/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_CHEESE_1x1_228x128_6.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Farmdale Thickened Cream 600ml,$2.99,50c per 100ml,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-thickened-cream-600ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_14.jpg,2020-09-09 04:03:29
 ALDI Australia,Dairy & Eggs ,Farmdale Thickened Light Cream 300ml,$1.89,63c per 100ml,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-thickened-light-cream-300ml-3/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_15.jpg,2020-09-09 04:03:30
 ALDI Australia,Dairy & Eggs ,Farmdale Double Cream 300ml,$3.69,$1.23 per 100ml,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-double-cream-300ml-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_13.jpg,2020-09-09 04:03:30
 ALDI Australia,Dairy & Eggs ,Farmdale Sour Cream 300ml,$2.09,70c per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-sour-cream-300g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_16.jpg,2020-09-09 04:03:30
 ALDI Australia,Dairy & Eggs ,Farmdale Light Sour Cream 300ml,$2.09,70c per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-light-sour-cream-300ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_17.jpg,2020-09-09 04:03:30
 ALDI Australia,Dairy & Eggs ,Lyttos Greek Style Natural Yogurt 2kg,$8.79,44c per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/lyttos-greek-style-natural-yogurt-2kg-3/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Dairy/2020/Q2/ALN2745_Q2_WEB_AUDIT__DAIRY__1x1_228x128_2.jpg,2020-09-09 04:03:30
