supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Just Organic ,Just Organic Vanilla Bean Yogurt 1kg,$4.99,50c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-vanilla-bean-yogurt-1kg-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2218_Q2_Just_Organic_Vanilla_Bean_Yoghurt_1kg_1x1_228x128.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Brie 125g,$3.99,$31.92 per kg,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-brie-125g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2362_Just_Organic_Brie_125g_1x1_228x128.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Granola 500g Berry,$4.49,90c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-granola-500g-berry/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2218_Q2_Just_Organic_Granola_500g_Berry_1x1_228x128_01.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Granola 500g Coconut & Chia,$4.49,90c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-granola-500g-coconut-chia/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2020/Q3/ALN2853_AWARDS_JUST-ORGANIC_1x1_228x128.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Sun-Dried Thompson Seedless Raisins 375g,$3.99,$10.64 per kg,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-sun-dried-thompson-seedless-raisins-3/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q1/ALN2230_Q1_ORGANIC_1x1_228x128_13.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Extra Virgin Coconut Oil 300g,$3.99,$1.33 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-extra-virgin-coconut-oil-300g-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Natural Coconut Flakes 200g,$3.99,$19.95 per kg,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-natural-coconut-flakes-200g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2018/ALN1989_ORGANIC_1x1_33.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Toasted Coconut Flakes with Sea Salt 140g,$3.99,$28.50 per kg,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-toasted-coconut-flakes-with-sea-salt/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2018/ALN1989_ORGANIC_1x1_34.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Dark Chocolate with Sea Salt 100g,$2.79,$1.99 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-dark-chocolate-with-sea-salt-100g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Dark Chocolate 100g,$2.79,$1.99 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-dark-chocolate-100g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_2.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Yogurt Assorted Varieties 70g,99,$1.41 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-yogurt-assorted-varieties-70g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2218_Q2_Just_Organic_Yogurt_Assorted_Varieties_70g_1x1_228x128.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Yogurt Assorted Varieties 140g,$1.49,$1.06 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-yogurt-assorted-varieties-140g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2218_Q2_Just_Organic_Yogurt_Assorted_Varieties_140g_1x1_228x128_01.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Extra Virgin Olive Oil 500ml,$4.69,94c per 100ml,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-extra-virgin-olive-oil-500ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2218_Q2_Just_Organic_Extra_Virgin_Olive_Oil_500ml_1x1_228x128.jpg,2020-09-09 04:03:45
 ALDI Australia,Just Organic ,Just Organic Free Range Eggs 6 Pack 300g,$3.99,$1.33 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-free-range-eggs-6-pack-300g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/dairy/2020/ALN2670_Q1_WEB_AUDIT__DAIRY_EGGS__1x1_228x128_5.jpg,2020-09-09 04:03:45
