id,supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date,ratings,rating_count,product_specials,available_in_stock
14, ALDI Australia,Dairy & Eggs ,Emporium Selection Ash Brie 150g,aldaem14,$4.49,$29.93 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-ash-brie-150g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Cheese/2020/Cheese_Awards/ALN2793_CHEESE_DAIRY_AWARDS_1x1_228x128_7.jpg,2020-09-20 19:33:43,null,null,null,true
15, ALDI Australia,Dairy & Eggs ,Emporium Selection Australian Washed Rind Cheese 125g,aldaem15,$3.49,$27.92 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-australian-washed-rind-cheese-1-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_.jpg,2020-09-20 19:33:43,null,null,null,true
16, ALDI Australia,Dairy & Eggs ,Emporium Selection Double Cream Camembert 200g,aldaem16,$4.49,$22.45 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-double-cream-camembert-200g-7/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_2.jpg,2020-09-20 19:33:43,null,null,null,true
17, ALDI Australia,Dairy & Eggs ,Emporium Selection Triple Cream Brie 200g,aldaem17,$4.49,$22.45 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-triple-cream-brie-200g-7/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_3.jpg,2020-09-20 19:33:43,null,null,null,true
18, ALDI Australia,Dairy & Eggs ,Emporium Selection Camembert 125g,aldaem18,$2.79,$22.32 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-camembert-125g-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_4.jpg,2020-09-20 19:33:43,null,null,null,true
19, ALDI Australia,Dairy & Eggs ,Emporium Selection Brie 125g,aldaem19,$2.79,$22.32 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-brie-125g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_5.jpg,2020-09-20 19:33:43,null,null,null,true
20, ALDI Australia,Dairy & Eggs ,Emporium Selection Persian Fetta Cheese 180g - Classic,aldaem20,$3.99,$22.17 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-persian-fetta-cheese-180g-class-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_CHEESE_1x1_228x128_6.jpg,2020-09-20 19:33:43,null,null,null,true
21, ALDI Australia,Dairy & Eggs ,Emporium Selection Danish Style Fetta Cheese 200g,aldaem21,$2.69,$13.45 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-danish-style-fetta-cheese-200g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_CHEESE_1x1_228x128_.jpg,2020-09-20 19:33:43,null,null,null,true
22, ALDI Australia,Dairy & Eggs ,Emporium Selection Greek Style Fetta Cheese 200g,aldaem22,$2.69,$13.45 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-greek-style-fetta-cheese-200g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_CHEESE_1x1_228x128_2.jpg,2020-09-20 19:33:43,null,null,null,true
23, ALDI Australia,Dairy & Eggs ,Emporium Selection Cheddar Cheese Aged 20 Months 250g,aldaem23,$3.99,$15.96 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/emporium-selection-aged-cheddar-20-months-250g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_CHEESE_1x1_228x128_3.jpg,2020-09-20 19:33:43,null,null,null,true
24, ALDI Australia,Dairy & Eggs ,Westacre Colby Cheese Block 500g,aldawe24,$5.49,$10.98 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/westacre-colby-cheese-block-500g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Cheese/2020/Cheese_Awards/ALN2793_CHEESE_DAIRY_AWARDS_1x1_228x128_5.jpg,2020-09-20 19:33:43,null,null,null,true
