id,supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date,ratings,rating_count,product_specials,available_in_stock
23, ALDI Australia,Beauty ,LACURA® Skin Science Revitalise Expert Eye Cream 15ml,albela23,$10.99,$73.27 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-skin-science-revitalise-expert-eye-cream-15/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2147_Q4_SKIN-CARE_1x1_228x128_13.jpg,2020-09-20 19:33:38,null,null,null,true
24, ALDI Australia,Beauty ,LACURA® Skin Science Revitalise Day Cream with Soy for Mature Skin 50ml,albela24,$7.99,$15.98 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-skin-science-revitalise-day-cream-with-soy/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2147_Q4_SKIN-CARE_1x1_228x128_6.jpg,2020-09-20 19:33:38,null,null,null,true
25, ALDI Australia,Beauty ,LACURA® Skin Science Revitalise Night Cream with Soy for Mature Skin 50ml,albela25,$7.99,$15.98 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-skin-science-revitalise-night-cream-with-so/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2147_Q4_SKIN-CARE_1x1_228x128_8.jpg,2020-09-20 19:33:38,null,null,null,true
26, ALDI Australia,Beauty ,LACURA® Skin Science Revitalise Multi Intensive Serum for Mature Skin 50ml,albela26,$7.99,$15.98 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-skin-science-revitalise-multi-intensive-ser/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2147_Q4_SKIN-CARE_1x1_228x128_7.jpg,2020-09-20 19:33:38,null,null,null,true
27, ALDI Australia,Beauty ,LACURA® Essentials Revitalise Cleansing Wipes 30pk,albela27,$1.69,6c per wipe,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-revitalise-cleansing-wipes-30pk/,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_1x1_228x128_48.jpg,2020-09-20 19:33:38,null,null,null,true
28, ALDI Australia,Beauty ,LACURA® Naturals Revitalising Facial Foaming Cleanser 150ml,albela28,$5.99,$3.99 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-revitalising-facial-foaming-cleans/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_25.jpg,2020-09-20 19:33:38,null,null,null,true
29, ALDI Australia,Beauty ,LACURA® Naturals Pore Cleansing Clarifying Facial Scrub 150ml,albela29,$5.99,$3.99 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-pore-cleansing-clarifying-facial-s/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_26.jpg,2020-09-20 19:33:38,null,null,null,true
30, ALDI Australia,Beauty ,LACURA® Naturals Invigorating Exfoliating Facial Scrub 150ml,albela30,$5.99,$3.99 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-invigorating-exfoliating-facial-sc/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_27.jpg,2020-09-20 19:33:38,null,null,null,true
31, ALDI Australia,Beauty ,LACURA® Naturals Anti-Aging Day Cream with Liquorice Extract Oil & Silk Protein 50ml,albela31,$7.99,$15.98 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-anti-aging-day-cream-with-liquoric/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_24.jpg,2020-09-20 19:33:38,null,null,null,true
32, ALDI Australia,Beauty ,LACURA® Naturals Anti-Aging Night Cream with Rice Bran Oil & Silk Protein 50ml,albela32,$7.99,$15.98 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-anti-aging-night-cream-with-rice-b/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_23.jpg,2020-09-20 19:33:38,null,null,null,true
33, ALDI Australia,Beauty ,LACURA® Naturals Anti-Aging Serum with Ginger Extract & Silk Protein 30ml,albela33,$7.99,$26.63 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-anti-aging-serum-with-ginger-extra/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_21.jpg,2020-09-20 19:33:38,null,null,null,true
34, ALDI Australia,Beauty ,LACURA® Naturals Anti-Aging Eye Cream with Tiger Grass & Silk Protein 15ml,albela34,$7.99,$53.27 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-naturals-anti-aging-eye-cream-with-tiger-gr/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_22.jpg,2020-09-20 19:33:38,null,null,null,true
35, ALDI Australia,Beauty ,LACURA® Beauty Long Lasting Duo Lipstick,albela35,$6.99,0,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-beauty-long-lasting-duo-lipstick/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_18.jpg,2020-09-20 19:33:38,null,null,null,true
36, ALDI Australia,Beauty ,LACURA® Beauty Long Lasting Compact Powder 10g,albela36,$5.99,$5.99 per 10g,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-beauty-long-lasting-compact-powder-10g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_19.jpg,2020-09-20 19:33:38,null,null,null,true
37, ALDI Australia,Beauty ,LACURA® Beauty Long Lasting Compact Blush 4.5g,albela37,$5.99,$13.31 per 10g,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-beauty-long-lasting-compact-blush-45g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_20.jpg,2020-09-20 19:33:38,null,null,null,true
38, ALDI Australia,Beauty ,LACURA® Beauty Foundation with Sunscreen,albela38,$4.99,$1.00 per 10ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-beauty-foundation-with-sunscreen/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_7.jpg,2020-09-20 19:33:38,null,null,null,true
39, ALDI Australia,Beauty ,LACURA® Beauty Face Primer 3 in 1,albela39,$4.99,$1.00 per 10ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-beauty-face-primer-3-in-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_6.jpg,2020-09-20 19:33:38,null,null,null,true
40, ALDI Australia,Beauty ,LACURA® Beauty 24hr Mascara – Waterproof 11.6ml or Volume 11.9ml,albela40,$6.99,$5.87-$6.03 per 10ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-beauty-24hr-mascara-waterproof-116ml-or-vol/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_4.jpg,2020-09-20 19:33:38,null,null,null,true
41, ALDI Australia,Beauty ,LACURA® Retractable Eyeliner or Eyebrow Pencil 0.3g,albela41,$4.99,$166.33 per 10g,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-retractable-eyeliner-or-eyebrow-pencil-03g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2362_Retractable_Eyeliner_or_Eyebrow_Pencil_0.3g_1x1_228x128_.jpg,2020-09-20 19:33:38,null,null,null,true
