id,supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date,ratings,rating_count,product_specials,available_in_stock
1, ALDI Australia,Gluten Free ,Gluten Free Penne 500g,alglgl1,$2.29,46c per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/gluten-free-penne-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/2019/ALN2147_Q4_GLUTEN-FREE_1x1_228x128_4.jpg,2020-09-20 19:33:46,null,null,null,true
2, ALDI Australia,Gluten Free ,Gluten Free Corn Flakes 375g,alglgl2,$2.99,80c per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-cornflakes-375g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/ALN1075_1x1_GF_228x128_.jpg,2020-09-20 19:33:46,null,null,null,true
3, ALDI Australia,Gluten Free ,Gluten Free Cocoa Puffs 475g,alglgl3,$2.99,63c per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-cocoa-puffs-cereal-475g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/ALN1075_1x1_GF_228x128_2.jpg,2020-09-20 19:33:46,null,null,null,true
4, ALDI Australia,Gluten Free ,Gluten Free Plain Flour 500g,alglgl4,$2.29,$4.58 per kg,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-plain-flour-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/2019/ALN2147_Q4_GLUTEN-FREE_1x1_228x128_5.jpg,2020-09-20 19:33:46,null,null,null,true
5, ALDI Australia,Gluten Free ,Gluten Free Self Raising Flour 500g,alglgl5,$2.29,$4.58 per kg,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-self-raising-flour-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/2019/ALN2147_Q4_GLUTEN-FREE_1x1_228x128_6.jpg,2020-09-20 19:33:46,null,null,null,true
6, ALDI Australia,Gluten Free ,Gluten Free Spirals 500g,alglgl6,$2.29,46c per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-spirals-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/ALC7363_DECEMBER_GLUTEN_FREE_1x1_3.jpg,2020-09-20 19:33:46,null,null,null,true
7, ALDI Australia,Gluten Free ,Gluten Free Spaghetti 500g,alglgl7,$2.29,46c per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-spaghetti-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/has_no/2019/ALN2147_Q4_GLUTEN-FREE_1x1_228x128_3.jpg,2020-09-20 19:33:46,null,null,null,true
8, ALDI Australia,Gluten Free ,Has No Gluten Free Biscuits 180g,alglha8,$2.29,$1.27 per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-gluten-free-biscuits-180g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_10.jpg,2020-09-20 19:33:46,null,null,null,true
9, ALDI Australia,Gluten Free ,Has No Gluten Free Coconut Macaroons 160g,alglha9,$1.99,$1.24 per 100g,https://www.aldi.com.au/en/groceries/pantry/gluten-free/has-no-detail/ps/p/has-no-gluten-free-coconut-macaroons-160g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_11.jpg,2020-09-20 19:33:46,null,null,null,true
